AVG_GRD,Activity_Type,AvgCourse,AvgInstructor,Course,CourseTitle,CrsLvlNum,CrsPBAColl,CrsPBADept,CrsPBADiv,Honors,Hours,Instruction_Mode,Level,NComb,NIntrFCQ,N/ENROLL,N/EOT,N/GRADE,N/INCOMP,N/NOCRED,N/PASS,N/Ret,PCT/A,PCT/B,PCT/C,PCT/C_MINUS_OR_BELOW,PCT/D,PCT/DF,PCT/F,PCT/GRADE,PCT/INCOMP,PCT/WDRAW,RAP,Section,Subject,Subject_Label,Workload/Hrs_Wk,Workload/Raw,YearTerm,Instructors/0/group,Instructors/0/name,Instructors/0/title,Instructors/1/group,Instructors/1/name,Instructors/1/title,Instructors/2/group,Instructors/2/name,Instructors/2/title
3.72,PRA - Practicum,5.79,5.93,4931,"Community Leadership in Action, Part 1",4XXX,AS,SSPC,SS,0,3,P  - In Person,Upper,1,1,14,14,14,0,0,0,14,0.86,0.07,0.07,0,0,0,0,1,0,0,1,800,INVS,INVST Community Studies,10-12,4.21,20137,4 TA Cred,"KAPLAN, REBECCA G",GRAD ASSISTANT,,,,,,
2.96,LEC - Lecture,4.78,5.05,2500,Introduction to Peace and Conflict Studies,2XXX,AS,SSPC,SS,0,3,P  - In Person,Lower,1,1,60,58,57,1,0,0,36,0.32,0.44,0.19,0.11,0.02,0.05,0.04,0.98,0.02,0.03,0,001,PACS,Peace & Conflict Studies,4-6,2.15,20137,2 Other reg,"BURGESS, GUY M",INSTRUCTOR,,,,,,
3.13,SEM - Seminar,,,1020,Topics-Social Sciences 1,1XXX,AS,SSPC,SS,0,3,P  - In Person,Lower,1,,13,13,13,0,0,0,,0.31,0.54,0.15,0.08,0,0,0,1,0,0,0,171,SEWL,Sewall Residential Acad Prgm,,,20137,2 Other reg,"AIKEN, ELLEN",INSTRUCTOR,,,,,,
3.07,LEC - Lecture,,,2000,"America, the Environment, and the Global Economy",2XXX,AS,SSPC,SS,0,3,P  - In Person,Lower,1,,19,19,19,0,0,0,,0.26,0.53,0.21,0,0,0,0,1,0,0,0,170,SEWL,Sewall Residential Acad Prgm,,,20137,2 Other reg,"LEWIS, CHRIS H",SENIOR INSTRUCTOR,,,,,,
,OTH - Other,,,2020,Civic Engagement,2XXX,AS,SSPC,SS,0,1,P  - In Person,Lower,1,,83,76,,0,0,76,,,,,,,,,,,,0,170,SEWL,Sewall Residential Acad Prgm,,,20137,2 Other reg,"MOORE, GEORGE",SENIOR INSTRUCTOR,,,,,,
,OTH - Other,,,2020,Civic Engagement,2XXX,AS,SSPC,SS,0,1,P  - In Person,Lower,1,,75,70,,0,0,70,,,,,,,,,,,,0,171,SEWL,Sewall Residential Acad Prgm,,,20137,2 Other reg,"MOORE, GEORGE",SENIOR INSTRUCTOR,,,,,,
3.37,LEC - Lecture,5.5,5.92,1000,Beginning Contemporary Dance Technique,1XXX,AS,THDN,AH,0,2,P  - In Person,Lower,1,1,32,30,30,0,0,0,26,0.6,0.2,0.17,0.03,0,0.03,0.03,1,0,0.06,0,001,DNCE,Dance,4-6,1.87,20137,4 TA Cred,"GEARY, ONDINE MICHELLE",GRAD PART-TIME INSTRUCTOR,,,,,,
3.7,LEC - Lecture,4.95,5.42,1000,Beginning Contemporary Dance Technique,1XXX,AS,THDN,AH,0,2,P  - In Person,Lower,1,1,21,21,21,0,0,0,19,0.76,0.14,0.1,0,0,0,0,1,0,0,0,002,DNCE,Dance,4-6,1.67,20137,4 TA Cred,"ANDERSON, BAILEY LOUISE",GRAD PART-TIME INSTRUCTOR,,,,,,
3.71,LEC - Lecture,3.5,4.2,1000,Beginning Contemporary Dance Technique,1XXX,AS,THDN,AH,0,2,P  - In Person,Lower,1,1,24,23,23,0,0,0,20,0.74,0.26,0,0,0,0,0,1,0,0.04,0,003,DNCE,Dance,4-6,1.50,20137,4 TA Cred,"GREENLEE, AMANDA RICHARDSON",GRAD PART-TIME INSTRUCTOR,,,,,,
3.76,MLS - Main Lab,3.89,4.33,1012,Dance Production,1XXX,AS,THDN,AH,0,2,P  - In Person,Lower,1,1,16,16,15,1,0,0,9,0.87,0.07,0.07,0,0,0,0,0.94,0.06,0,0,001,DNCE,Dance,4-6,1.57,20137,3 Supp,"OSNES, J P",MEDIA SPECIALIST IV,,,,,,
2.66,LEC - Lecture,4.5,4.89,1017,Dance and Popular Culture,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,74,72,72,0,0,0,46,0.26,0.31,0.29,0.21,0.11,0.14,0.03,1,0,0.03,0,001,DNCE,Dance,4-6,1.86,20137,4 TA Cred,"OLIVER, RACHEL MCKINNON",GRAD PART-TIME INSTRUCTOR,,,,,,
2.92,LEC - Lecture,4.28,4.91,1017,Dance and Popular Culture,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,70,67,67,0,0,0,43,0.28,0.49,0.13,0.13,0.06,0.09,0.03,1,0,0.04,0,002,DNCE,Dance,7-9,2.82,20137,4 TA Cred,"GESSAY, BROOKE JULIA",GRAD PART-TIME INSTRUCTOR,4 TA Cred,"LIEBHARD, ERINN KELLIE",GRAD PART-TIME INSTRUCTOR,,,
2.35,LEC - Lecture,4.7,5.3,1027,Introduction to Dance and Culture,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,49,45,45,0,0,0,38,0.16,0.31,0.31,0.27,0.13,0.22,0.09,1,0,0.08,0,001,DNCE,Dance,4-6,2.03,20137,1 TTT,"MEJIA, DONNA",ASST PROFESSOR,,,,,,
2.95,LEC - Lecture,,,1027,Introduction to Dance and Culture,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,,16,16,16,0,0,0,,0.5,0.25,0.06,0.25,0.19,0.19,0,1,0,0,0,130,DNCE,Dance,,,20137,3 Supp,"HALLO TAFURA, MARISSA LEIGH",LECTURER,,,,,,
3.44,LEC - Lecture,,,1027,Introduction to Dance and Culture,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,,16,14,14,0,0,0,,0.57,0.36,0.07,0.07,0,0,0,1,0,0.13,0,280,DNCE,Dance,,,20137,3 Supp,"HALLO TAFURA, MARISSA LEIGH",LECTURER,,,,,,
3.77,LEC - Lecture,,,1027,Introduction to Dance and Culture,1XXX,AS,THDN,AH,1,3,P  - In Person,Lower,1,1,12,12,12,0,0,0,0,0.92,0.08,0,0,0,0,0,1,0,0,0,880,DNCE,Dance,,,20137,2 Other reg,"COLE, PENELOPE R",INSTRUCTOR,,,,,,
3.67,STU - Studio,5.14,5.24,1100,Beginning Ballet,1XXX,AS,THDN,AH,0,1,P  - In Person,Lower,1,1,28,27,27,0,0,0,21,0.78,0.19,0,0.04,0,0.04,0.04,1,0,0.04,0,001,DNCE,Dance,0-3,1.35,20137,4 TA Cred,"DEMAREE, KRISTEN",GRAD PART-TIME INSTRUCTOR,,,,,,
3.7,STU - Studio,5.32,5.42,1200,Beginning Jazz Dance,1XXX,AS,THDN,AH,0,1,P  - In Person,Lower,1,1,26,25,24,1,0,0,19,0.75,0.21,0.04,0.04,0,0,0,0.96,0.04,0.04,0,001,DNCE,Dance,4-6,1.60,20137,4 TA Cred,"PAGACH, JESSICA DIANNE",GRAD PART-TIME INSTRUCTOR,,,,,,
4,STU - Studio,5.43,5.78,1220,Beginning Jazz with Experience,1XXX,AS,THDN,AH,0,1,P  - In Person,Lower,1,1,23,23,23,0,0,0,23,1,0,0,0,0,0,0,1,0,0,0,001,DNCE,Dance,0-3,1.14,20137,4 TA Cred,"SALTERS, SAMANTHA E",GRAD PART-TIME INSTRUCTOR,,,,,,
3.65,STU - Studio,5.44,5.75,1901,Technique Practicum,1XXX,AS,THDN,AH,0,2,P  - In Person,Lower,1,1,38,34,34,0,0,0,32,0.76,0.21,0,0.03,0,0.03,0.03,1,0,0.11,0,001,DNCE,Dance,4-6,2.23,20137,3 Supp,"SOUTHALL, LAWRENCE T",LECTURER,,,,,,
3.79,STU - Studio,5.44,5.61,1901,Technique Practicum,1XXX,AS,THDN,AH,0,2,P  - In Person,Lower,1,1,18,18,18,0,0,0,18,0.78,0.22,0,0,0,0,0,1,0,0,0,002,DNCE,Dance,4-6,2.23,20137,3 Supp,"SOUTHALL, LAWRENCE T",LECTURER,,,,,,
3.27,STU - Studio,5.67,5.92,1901,Technique Practicum,1XXX,AS,THDN,AH,0,1,P  - In Person,Lower,1,1,29,29,29,0,0,0,24,0.41,0.55,0,0.03,0,0.03,0.03,1,0,0,0,003,DNCE,Dance,0-3,1.14,20137,1 TTT,"MEJIA, DONNA",ASST PROFESSOR,,,,,,
3.44,STU - Studio,5.41,5.65,1901,Technique Practicum,1XXX,AS,THDN,AH,0,1,P  - In Person,Lower,1,1,19,19,19,0,0,0,17,0.68,0.21,0.05,0.05,0,0.05,0.05,1,0,0,0,005,DNCE,Dance,4-6,1.60,20137,4 TA Cred,"LIEBHARD, ERINN KELLIE",GRAD PART-TIME INSTRUCTOR,,,,,,
3.34,LEC - Lecture,5.25,5.92,2014,Rhythmic Skills for Dancers,2XXX,AS,THDN,AH,0,2,P  - In Person,Lower,1,1,13,13,13,0,0,0,12,0.54,0.31,0.15,0.08,0,0,0,1,0,0,0,001,DNCE,Dance,4-6,2.08,20137,2 Other reg,"MANNO, JESSE J",SENIOR INSTRUCTOR,,,,,,
3.34,STU - Studio,5.67,5.81,2021,Major Technique,2XXX,AS,THDN,AH,0,2,P  - In Person,Lower,1,1,22,22,21,1,0,0,21,0.67,0.14,0.14,0.05,0,0.05,0.05,0.95,0.05,0,1,801,DNCE,Dance,7-9,3.16,20137,1 TTT,"RANDALL, ERIKA ANNE",ASST PROFESSOR,,,,,,
3.86,LEC - Lecture,5.44,5.67,2033,Beginning Composition,2XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,12,12,12,0,0,0,9,0.83,0.17,0,0,0,0,0,1,0,0,0,001,DNCE,Dance,7-9,2.67,20137,1 TTT,"DIACHENKO, NADA",PROFESSOR,,,,,,
3.73,STU - Studio,5.29,5.59,2141,Low Intermediate Ballet,2XXX,AS,THDN,AH,0,1,P  - In Person,Lower,1,1,21,20,19,0,0,0,17,0.79,0.21,0,0,0,0,0,0.95,0,0.05,0,001,DNCE,Dance,4-6,1.69,20137,4 TA Cred,"DEMAREE, KRISTEN",GRAD PART-TIME INSTRUCTOR,,,,,,
3.71,LEC - Lecture,5.04,4.96,2501,African Dance,2XXX,AS,THDN,AH,0,2,P  - In Person,Lower,2,1,51,50,48,0,0,0,48,0.81,0.15,0.04,0,0,0,0,0.96,0,0.02,0,001,DNCE,Dance,4-6,2.30,20137,2 Other reg,"SOWAH, NII ARMAH",SENIOR INSTRUCTOR,,,,,,
3.8,LEC - Lecture,5.35,5.39,2501,African Dance,2XXX,AS,THDN,AH,0,2,P  - In Person,Lower,2,1,38,38,38,0,0,0,34,0.82,0.18,0,0,0,0,0,1,0,0,0,002,DNCE,Dance,4-6,2.31,20137,2 Other reg,"SOWAH, NII ARMAH",SENIOR INSTRUCTOR,,,,,,
3.7,LEC - Lecture,5.8,5.9,2501,African Dance,2XXX,AS,THDN,AH,0,2,P  - In Person,Lower,2,1,29,26,26,0,0,0,20,0.73,0.27,0,0,0,0,0,1,0,0.1,0,003,DNCE,Dance,4-6,1.76,20137,4 TA Cred,"MADYUN, MECCA KHADIJAH",GRAD PART-TIME INSTRUCTOR,,,,,,
3.84,LEC - Lecture,,,2501,African Dance,2XXX,AS,THDN,AH,0,2,P  - In Person,Lower,1,,14,14,14,0,0,0,,0.93,0.07,0,0,0,0,0,1,0,0,0,280,DNCE,Dance,,,20137,3 Supp,"MENSAH, MAPUTO",LECTURER,,,,,,
3.35,LEC - Lecture,5.1,5.2,2701,Contact Improvisation 1,2XXX,AS,THDN,AH,0,2,P  - In Person,Lower,1,1,14,13,12,0,0,0,10,0.83,0,0.08,0.08,0,0.08,0.08,0.92,0,0.07,0,001,DNCE,Dance,0-3,1.11,20137,3 Supp,"LEMIEUX, DONNA",LECTURER,,,,,,
3.59,STU - Studio,5.67,5.73,3241,Intermediate Jazz,3XXX,AS,THDN,AH,0,1,P  - In Person,Upper,1,1,18,15,15,0,0,0,15,0.73,0.2,0.07,0.07,0,0,0,1,0,0.17,0,001,DNCE,Dance,0-3,1.43,20137,4 TA Cred,"PAGACH, JESSICA DIANNE",GRAD PART-TIME INSTRUCTOR,,,,,,
3.81,LEC - Lecture,5.8,6,3601,Alexander Technique for Actors and Dancers,3XXX,AS,THDN,AH,0,2,P  - In Person,Upper,2,1,14,14,14,0,0,0,10,0.79,0.21,0,0,0,0,0,1,0,0,1,810,DNCE,Dance,4-6,2.11,20137,1 TTT,"DIACHENKO, NADA",PROFESSOR,,,,,,
3.42,STU - Studio,5.13,4.92,3901,Technique Practicum,3XXX,AS,THDN,AH,0,2,P  - In Person,Upper,1,2,28,27,27,0,0,0,13,0.63,0.19,0.19,0,0,0,0,1,0,0.04,0,001,DNCE,Dance,4-6,1.64,20137,3 Supp,"HARRIS, LORENZO R.",ARTIST IN RESIDENCE,3 Supp,"SOUTHALL, LAWRENCE T",LECTURER,,,
2.99,LEC - Lecture,5.09,5.76,4017,History and Philosophy of Dance,4XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,84,81,81,0,0,0,46,0.37,0.4,0.19,0.1,0.02,0.05,0.02,1,0,0.04,0,010,DNCE,Dance,7-9,2.67,20137,3 Supp,"TULEY, STEPHANIE ANN",LECTURER,,,,,,
3.53,LEC - Lecture,4.71,5.33,4036,Methods of Teaching Dance,4XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,25,25,25,0,0,0,21,0.72,0.24,0,0.04,0,0.04,0.04,1,0,0,0,001,DNCE,Dance,4-6,2.05,20137,1 TTT,"MEJIA, DONNA",ASST PROFESSOR,,,,,,
3.33,LEC - Lecture,5.62,5.65,4047,Hip-Hop Dance History,4XXX,AS,THDN,AH,0,3,P  - In Person,Upper,2,2,21,21,21,0,0,0,13,0.52,0.38,0,0.1,0.1,0.1,0,1,0,0,0,001,DNCE,Dance,4-6,1.88,20137,3 Supp,"HARRIS, LORENZO R.",ARTIST IN RESIDENCE,3 Supp,"SOUTHALL, LAWRENCE T",LECTURER,,,
2.62,LEC - Lecture,5.23,5.29,1003,Acting 1: Introduction to Acting,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,20,19,19,0,0,0,17,0.32,0.26,0.26,0.32,0.11,0.16,0.05,1,0,0.05,0,001,THTR,Theatre,7-9,2.71,20137,3 Supp,"HARRISON, EMILY K.",LECTURER,,,,,,
2.97,LEC - Lecture,4.89,4.44,1003,Acting 1: Introduction to Acting,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,21,17,17,0,0,0,9,0.59,0.18,0.06,0.24,0.06,0.18,0.12,1,0,0.19,0,002,THTR,Theatre,7-9,2.63,20137,4 TA Cred,"HARMON, RANDALL NOLEN",GRAD PART-TIME INSTRUCTOR,,,,,,
3.47,LEC - Lecture,5.32,5.32,1003,Acting 1: Introduction to Acting,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,23,23,23,0,0,0,22,0.65,0.22,0.09,0.04,0.04,0.04,0,1,0,0,0,003,THTR,Theatre,4-6,2.30,20137,4 TA Cred,"BLASER, AUDRA J.",GRAD PART-TIME INSTRUCTOR,,,,,,
3.68,LEC - Lecture,5.44,5.55,1003,Acting 1: Introduction to Acting,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,15,14,14,0,0,0,9,0.79,0.21,0,0,0,0,0,1,0,0.07,0,004,THTR,Theatre,7-9,2.56,20137,1 TTT,"PANG, CECILIA J",ASSOCIATE PROFESSOR,,,,,,
2.68,LEC - Lecture,5.25,5.56,1003,Acting 1: Introduction to Acting,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,20,19,19,0,0,0,17,0.37,0.21,0.26,0.32,0.16,0.16,0,1,0,0.05,0,005,THTR,Theatre,4-6,2.21,20137,3 Supp,"HARRISON, EMILY K.",LECTURER,,,,,,
3.36,LEC - Lecture,,,1003,Acting 1: Introduction to Acting,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,,16,16,15,1,0,0,,0.4,0.6,0,0,0,0,0,0.94,0.06,0,0,280,THTR,Theatre,,,20137,2 Other reg,"COLE, PENELOPE R",INSTRUCTOR,,,,,,
3.61,LEC - Lecture,5.28,5.68,1009,Introduction to Theatre,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,71,69,69,0,0,0,54,0.77,0.14,0.06,0.03,0.01,0.03,0.01,1,0,0.03,0,001,THTR,Theatre,4-6,1.96,20137,4 TA Cred,"CROWE, KEVIN C",GRAD PART-TIME INSTRUCTOR,,,,,,
3.34,LEC - Lecture,5.14,5.72,1009,Introduction to Theatre,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,94,93,93,0,0,0,70,0.54,0.35,0.06,0.06,0.04,0.04,0,1,0,0.01,0,002,THTR,Theatre,4-6,2.02,20137,4 TA Cred,"WEITKAMP, LINDSAY ANNE",GRAD PART-TIME INSTRUCTOR,,,,,,
3.08,LEC - Lecture,5.06,5.63,1009,Introduction to Theatre,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,97,93,93,0,0,0,63,0.45,0.29,0.23,0.1,0.02,0.03,0.01,1,0,0.04,0,003,THTR,Theatre,4-6,2.18,20137,3 Supp,"BISPING, JASON MARK",LECTURER,,,,,,
2.66,LEC - Lecture,3.62,3.96,1009,Introduction to Theatre,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,67,67,67,0,0,0,47,0.21,0.37,0.34,0.09,0.04,0.07,0.03,1,0,0,0,004,THTR,Theatre,4-6,2.04,20137,4 TA Cred,"THORSON, GREGORY S",GRAD PART-TIME INSTRUCTOR,,,,,,
3.53,LEC - Lecture,,,1009,Introduction to Theatre,1XXX,AS,THDN,AH,1,3,P  - In Person,Lower,1,,16,16,16,0,0,0,,0.69,0.25,0.06,0.06,0,0,0,1,0,0,0,888,THTR,Theatre,,,20137,2 Other reg,"COLE, PENELOPE R",INSTRUCTOR,,,,,,
3.13,LEC - Lecture,4.25,4.58,1011,Development of Theatre 1: Global Theatre Origins,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,58,55,55,0,0,0,48,0.44,0.38,0.13,0.09,0.04,0.05,0.02,1,0,0.05,0,001,THTR,Theatre,4-6,2.00,20137,1 TTT,"OSNES, MARY BETH",ASST PROFESSOR,,,,,,
3,LEC - Lecture,5.27,5.47,1019,Theatre Foundations: Text Analysis and Practice for the Theatre Arts,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,21,21,21,0,0,0,15,0.62,0.14,0.05,0.19,0.05,0.19,0.14,1,0,0,0,001,THTR,Theatre,7-9,2.50,20137,4 TA Cred,"KAMMINGA-PECK, HADLEY",GRAD PART-TIME INSTRUCTOR,,,,,,
2.92,LEC - Lecture,5.13,5.48,1105,Stage Technologies,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,29,28,27,1,0,0,25,0.52,0.11,0.26,0.19,0.07,0.11,0.04,0.96,0.04,0.03,0,001,THTR,Theatre,4-6,1.85,20137,2 Other reg,"CRIPE, KERRY M",SENIOR INSTRUCTOR,,,,,,
2.83,LEC - Lecture,4.25,4.88,1115,Costume Technologies,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,17,17,17,0,0,0,8,0.35,0.47,0,0.18,0.06,0.18,0.12,1,0,0,0,001,THTR,Theatre,7-9,3.38,20137,2 Other reg,"STARK, THEODORE",SENIOR INSTRUCTOR,,,,,,
2.42,LEC - Lecture,4.75,5.5,1115,Costume Technologies,1XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,17,17,17,0,0,0,8,0.29,0.24,0.18,0.47,0.24,0.29,0.06,1,0,0,0,002,THTR,Theatre,10-12,3.88,20137,2 Other reg,"STARK, THEODORE",SENIOR INSTRUCTOR,,,,,,
3.12,LEC - Lecture,5.56,5.94,2043,Voice and Movement for the Stage,2XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,16,16,16,0,0,0,16,0.5,0.38,0,0.13,0.13,0.13,0,1,0,0,1,801,THTR,Theatre,4-6,2.38,20137,1 TTT,"PERSONS, CHARLES HOWARD",ASST PROFESSOR,,,,,,
3.76,LEC - Lecture,5.14,5.57,2105,Introduction to Performance Design,2XXX,AS,THDN,AH,0,3,P  - In Person,Lower,1,1,24,24,24,0,0,0,14,0.88,0.13,0,0,0,0,0,1,0,0,0,001,THTR,Theatre,4-6,1.83,20137,1 TTT,"BERGNER, BRUCE ALAN",ASSOCIATE PROFESSOR,,,,,,
3.51,LEC - Lecture,4.89,5.12,3011,Development of the American Musical Theatre,3XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,175,171,171,0,0,0,75,0.71,0.22,0.03,0.06,0.02,0.04,0.02,1,0,0.02,0,001,THTR,Theatre,7-9,2.64,20137,3 Supp,"BISPING, JASON MARK",LECTURER,,,,,,
2.9,LEC - Lecture,3.85,4.07,3011,Development of the American Musical Theatre,3XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,84,83,83,0,0,0,74,0.34,0.34,0.24,0.1,0.05,0.08,0.04,1,0,0.01,0,002,THTR,Theatre,4-6,2.39,20137,4 TA Cred,"CALVANO, JENNIFER LEE",GRAD PART-TIME INSTRUCTOR,,,,,,
3.43,LEC - Lecture,3.67,3.6,3011,Development of the American Musical Theatre,3XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,91,91,91,0,0,0,83,0.6,0.29,0.07,0.05,0.02,0.04,0.02,1,0,0,0,003,THTR,Theatre,4-6,2.31,20137,4 TA Cred,"DABNEY, KAREN MICHELLE",GRAD PART-TIME INSTRUCTOR,,,,,,
3.5,LEC - Lecture,5.48,5.73,3011,Development of the American Musical Theatre,3XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,94,94,94,0,0,0,78,0.66,0.24,0.06,0.03,0.03,0.03,0,1,0,0,0,004,THTR,Theatre,4-6,1.99,20137,4 TA Cred,"STITH, NATHANIEL LAWRENCE",GRAD PART-TIME INSTRUCTOR,,,,,,
3.59,LEC - Lecture,5.85,5.92,3013,Studio 1: Building a Character,3XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,15,15,15,0,0,0,13,0.87,0.07,0,0.07,0.07,0.07,0,1,0,0,1,801,THTR,Theatre,7-9,3.23,20137,1 TTT,"PERSONS, CHARLES HOWARD",ASST PROFESSOR,,,,,,
3.9,PRA - Practicum,5.73,6,3035,Production Practicum,3XXX,AS,THDN,AH,0,1,P  - In Person,Upper,1,1,21,19,19,0,0,0,11,0.95,0.05,0,0,0,0,0,1,0,0.1,1,820,THTR,Theatre,13-15,4.54,20137,2 Other reg,"LANE, CONSTANCE IRENE",INSTRUCTOR,,,,,,
3.97,PRA - Practicum,4.67,5.33,3035,Production Practicum,3XXX,AS,THDN,AH,0,1,P  - In Person,Upper,1,1,12,12,12,0,0,0,6,1,0,0,0,0,0,0,1,0,0,1,840,THTR,Theatre,0-3,1.17,20137,2 Other reg,"STARK, THEODORE",SENIOR INSTRUCTOR,,,,,,
2.74,LEC - Lecture,4.48,4.62,3085,History of Western Fashion,3XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,32,32,32,0,0,0,21,0.25,0.34,0.38,0.22,0.03,0.03,0,1,0,0,0,001,THTR,Theatre,7-9,2.60,20137,1 TTT,"HENRY, MARK ALLEN",ASSOCIATE PROFESSOR,,,,,,
3.4,LEC - Lecture,4.67,5.47,3149,Professional Orientation: Exploring Professional Potentials for Theatre Majors,3XXX,AS,THDN,AH,0,2,P  - In Person,Upper,1,1,16,16,16,0,0,0,15,0.63,0.19,0.19,0.06,0,0,0,1,0,0,0,001,THTR,Theatre,7-9,2.60,20137,1 TTT,"MENEGHINI-STALKER, TAMARA L.",ASST PROFESSOR,,,,,,
4,LEC - Lecture,6,6,4013,Studio 3: Acting Shakespeare,4XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,15,15,15,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,001,THTR,Theatre,10-12,4.00,20137,2 Other reg,"NICHOLS, LYNN WAYNE",SENIOR INSTRUCTOR,,,,,,
2.7,SEM - Seminar,4.2,4.47,4021,Development of Theatre 4: American Theatre and Drama,4XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,16,16,16,0,0,0,15,0.31,0.31,0.25,0.25,0.13,0.13,0,1,0,0,0,001,THTR,Theatre,7-9,3.27,20137,4 TA Cred,"SCHMIDT, HEIDI",GRAD PART-TIME INSTRUCTOR,,,,,,
3.97,FLD - Field,3.83,4.5,4029,Dance and Community Engagement,4XXX,AS,THDN,AH,0,1,P  - In Person,Upper,1,1,12,12,12,0,0,0,12,1,0,0,0,0,0,0,1,0,0,1,801,THTR,Theatre,4-6,1.73,20137,2 Other reg,"SOWAH, NII ARMAH",SENIOR INSTRUCTOR,,,,,,
3.49,LEC - Lecture,5.83,5.83,4033,Advanced Movement for the Stage,4XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,17,17,17,0,0,0,12,0.53,0.47,0,0,0,0,0,1,0,0,1,801,THTR,Theatre,7-9,3.08,20137,1 TTT,"MENEGHINI-STALKER, TAMARA L.",ASST PROFESSOR,,,,,,
3.68,LEC - Lecture,5.17,5.33,4061,Directing,4XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,19,19,19,0,0,0,6,0.95,0.05,0,0,0,0,0,1,0,0,1,801,THTR,Theatre,13-15,4.60,20137,1 TTT,"PANG, CECILIA J",ASSOCIATE PROFESSOR,,,,,,
3.47,LEC - Lecture,5.88,6,4073,Performing Voices of Women,4XXX,AS,THDN,AH,0,3,P  - In Person,Upper,1,1,10,10,10,0,0,0,8,0.8,0.1,0,0.1,0,0.1,0.1,1,0,0,0,001,THTR,Theatre,7-9,2.63,20137,1 TTT,"OSNES, MARY BETH",ASST PROFESSOR,,,,,,
2.47,LEC - Lecture,5.12,5.37,2000,Introduction to Feminist Studies,2XXX,AS,WMST,SS,0,3,P  - In Person,Lower,1,1,67,66,66,0,0,0,52,0.18,0.32,0.36,0.18,0.09,0.14,0.05,1,0,0.01,0,001,WMST,Womens Studies,4-6,2.13,20137,1 TTT,"JACOBS, JANET L",PROFESSOR,,,,,,
3.69,LEC - Lecture,5.07,5.48,2020,"Femininities, Masculinities, Alternatives",2XXX,AS,WMST,SS,0,3,P  - In Person,Lower,1,1,56,55,55,0,0,0,29,0.89,0.05,0.04,0.02,0,0.02,0.02,1,0,0.02,0,001,WMST,Womens Studies,4-6,2.04,20137,3 Supp,"BULLINGTON, SAM N",LECTURER,,,,,,
2.64,LEC - Lecture,4.38,4.41,2050,"Gender, Sexuality, and Popular Culture",2XXX,AS,WMST,SS,0,3,P  - In Person,Lower,1,1,86,84,84,0,0,0,64,0.12,0.52,0.29,0.12,0.02,0.07,0.05,1,0,0.02,0,001,WMST,Womens Studies,4-6,2.20,20137,1 TTT,"MISRI, DEEPTI",ASST PROFESSOR,,,,,,
2.62,LEC - Lecture,,,2050,"Gender, Sexuality, and Popular Culture",2XXX,AS,WMST,SS,0,3,P  - In Person,Lower,1,,19,19,19,0,0,0,,0.16,0.58,0.11,0.21,0.11,0.16,0.05,1,0,0,0,265,WMST,Womens Studies,,,20137,2 Other reg,"SIMPSON, MICHELE D",INSTRUCTOR,,,,,,
